id_cliente,nome,idade,data_nascimento,cidade,estado,email,renda_mensal,quantidade_compras,valor_total_compras,cliente_ativo
33,Natalia Sérgio Fernandes Souza,53,1973-04-15,Rio de Janeiro,RJ,cliente00033@exemplo.com,8329.44,8,27997.78,Sim
34,Henrique Lucas Lima Costa,36,1989-08-28,Uberlândia,MG,cliente00034@exemplo.com,9757.65,41,15868.22,Não
35,Vanessa Daniel Pereira Nascimento,51,1975-03-07,Sorocaba,SP,cliente00035@exemplo.com,11522.63,9,8170.45,Sim
36,Vinícius Juliana Rodrigues Nascimento,33,1992-09-02,Brasília,DF,cliente00036@exemplo.com,4890.14,3,2768.95,Não
37,Isabela Bruno Silva Carvalho,22,2004-08-04,Curitiba,PR,cliente00037@exemplo.com,10101.03,16,4847.46,Não
38,Rafael Vinícius Ribeiro Barbosa,56,1970-06-08,Sorocaba,SP,cliente00038@exemplo.com,2515.79,44,27117.86,Sim
39,Lucas Renata Barbosa Pereira,37,1989-04-12,Curitiba,PR,cliente00039@exemplo.com,2064.69,23,26969.44,Sim
40,Lucas Gabriela Almeida Souza,40,1985-11-12,Recife,PE,cliente00040@exemplo.com,14646.8,47,4636.6,Sim
41,Fernanda Fernanda Ribeiro Silva,48,1978-01-17,Porto Alegre,RS,cliente00041@exemplo.com,12062.22,26,24067.05,Sim
42,Isabela Fernanda Souza Martins,54,1971-09-27,Brasília,DF,cliente00042@exemplo.com,4502.86,29,10489.75,Sim
43,Henrique Ana Rodrigues Martins,41,1984-09-22,Belo Horizonte,MG,cliente00043@exemplo.com,13168.76,49,8373.75,Não
44,Vanessa Rafael Carvalho Silva,51,1975-03-05,Belo Horizonte,MG,cliente00044@exemplo.com,3910.67,16,1147.72,Não
45,Lucas William Carvalho Ribeiro,29,1997-03-12,Sorocaba,SP,cliente00045@exemplo.com,6700.14,36,5702.36,Sim
46,Vinícius Mateus Silva Mendes,32,1994-02-25,Rio de Janeiro,RJ,cliente00046@exemplo.com,6416.99,4,28466.23,Não
47,Sérgio Juliana Souza Lima,33,1992-09-30,Uberlândia,MG,cliente00047@exemplo.com,10503.05,20,12072.01,Não
48,Rafael Eduardo Rodrigues Ribeiro,26,1999-10-30,Salvador,BA,cliente00048@exemplo.com,10643.79,11,18465.45,Não
49,Mariana Rafael Silva Lima,43,1982-11-14,Rio de Janeiro,RJ,cliente00049@exemplo.com,7303.49,37,18199.85,Não
50,Natalia Natalia Alves Rodrigues,33,1992-12-06,Brasília,DF,cliente00050@exemplo.com,12215.43,50,22078.84,Sim
51,João Patrícia Moura Carvalho,52,1974-03-11,Niterói,RJ,cliente00051@exemplo.com,10582.74,14,24196.89,Sim
52,Ana Bruno Almeida Monteiro,29,1997-06-03,Santos,SP,cliente00052@exemplo.com,7648.12,40,17270.13,Não
53,Otávio Mariana Almeida Pereira,27,1999-06-06,São Paulo,SP,cliente00053@exemplo.com,13550.91,49,26563.96,Não
54,Henrique Fernanda Mendes Alves,54,1972-04-02,Niterói,RJ,cliente00054@exemplo.com,13885.85,7,13693.85,Não
55,Vanessa Patrícia Barbosa Moura,42,1984-03-26,Fortaleza,CE,cliente00055@exemplo.com,9770.81,46,26760.61,Não
56,Rafael Natalia Costa Monteiro,36,1990-03-10,Belo Horizonte,MG,cliente00056@exemplo.com,11648.99,40,8319.34,Não
57,Thiago Henrique Nascimento Alves,53,1973-06-23,Uberlândia,MG,cliente00057@exemplo.com,4665.66,21,9591.29,Sim
58,Eduardo Eduardo Almeida Martins,25,2001-02-16,Curitiba,PR,cliente00058@exemplo.com,11036.66,4,12446.04,Não
59,Rafael Natalia Ribeiro Santos,47,1979-04-12,Recife,PE,cliente00059@exemplo.com,6757.94,49,17522.38,Sim
60,Renata Mariana Monteiro Silva,40,1985-10-12,Uberlândia,MG,cliente00060@exemplo.com,11671.91,26,16146.62,Sim
61,Otávio Henrique Nascimento Ribeiro,34,1991-10-14,São Paulo,SP,cliente00061@exemplo.com,6749.57,42,20374.26,Não
62,William Fernanda Alves Pereira,28,1997-11-30,São Paulo,SP,cliente00062@exemplo.com,13743.54,37,16931.76,Sim
63,Carlos Thiago Ribeiro Pereira,35,1990-09-17,Londrina,PR,cliente00063@exemplo.com,2178.84,24,9820.58,Não
64,Juliana Juliana Martins Nascimento,22,2003-09-25,Recife,PE,cliente00064@exemplo.com,4905.67,5,14109.21,Sim
65,Lucas Henrique Oliveira Santos,22,2003-11-01,São Paulo,SP,cliente00065@exemplo.com,14319.76,12,25176.87,Sim
66,Henrique Eduardo Monteiro Souza,31,1995-04-20,Rio de Janeiro,RJ,cliente00066@exemplo.com,7777.96,16,23006.94,Sim
67,Sérgio Sérgio Souza Costa,42,1983-12-15,Sorocaba,SP,cliente00067@exemplo.com,9312.24,19,17273.9,Não
68,Mariana Vinícius Rodrigues Oliveira,30,1996-07-23,Niterói,RJ,cliente00068@exemplo.com,2875.67,49,9047.48,Sim
69,Renata Bruno Gomes Barbosa,37,1989-03-20,Florianópolis,SC,cliente00069@exemplo.com,2430.92,41,10236.94,Não
70,Otávio Daniel Ribeiro Gomes,28,1998-07-06,Fortaleza,CE,cliente00070@exemplo.com,11048.67,27,5284.11,Não
71,Sérgio Rafael Monteiro Alves,37,1989-07-16,Belo Horizonte,MG,cliente00071@exemplo.com,5851.11,15,24921.93,Sim
72,Isabela Natalia Almeida Alves,31,1995-07-25,Salvador,BA,cliente00072@exemplo.com,6041.35,31,25528.59,Sim
73,Otávio Gabriela Gomes Nascimento,41,1985-04-08,Belo Horizonte,MG,cliente00073@exemplo.com,13384.32,44,26403.22,Sim
74,Patrícia Gabriela Oliveira Almeida,24,2002-04-20,Recife,PE,cliente00074@exemplo.com,8095.8,48,7209.72,Não
75,Thiago Vinícius Monteiro Alves,21,2005-07-27,São Paulo,SP,cliente00075@exemplo.com,2756.22,14,12132.03,Sim
76,João Vanessa Fernandes Gomes,35,1991-03-25,Florianópolis,SC,cliente00076@exemplo.com,7244.3,47,16511.65,Não
77,Vinícius Natalia Nascimento Lima,45,1981-04-11,Niterói,RJ,cliente00077@exemplo.com,3128.85,12,9466.44,Sim
78,Gabriela Gabriela Monteiro Nascimento,24,2002-07-03,Uberlândia,MG,cliente00078@exemplo.com,14736.89,12,8887.39,Não
79,Fernanda João Silva Barbosa,50,1975-09-05,Belo Horizonte,MG,cliente00079@exemplo.com,2114.46,3,16600.77,Sim
80,Thiago Otávio Souza Silva,30,1995-10-02,Uberlândia,MG,cliente00080@exemplo.com,7836.86,28,10221.18,Sim
81,Isabela Otávio Souza Oliveira,38,1987-12-23,Brasília,DF,cliente00081@exemplo.com,2500.11,40,20593.53,Sim
82,Eduardo Renata Lima Oliveira,45,1981-02-18,Sorocaba,SP,cliente00082@exemplo.com,9033.99,26,18189.53,Sim
83,Patrícia Mariana Alves Alves,43,1983-05-04,Recife,PE,cliente00083@exemplo.com,5622.63,39,1806.91,Sim
84,Gabriela Thiago Rodrigues Nascimento,27,1999-08-17,Santos,SP,cliente00084@exemplo.com,3620.27,11,16559.77,Sim
85,Ana Mateus Alves Moura,35,1991-01-30,Uberlândia,MG,cliente00085@exemplo.com,1940.64,18,21208.67,Não
86,Carlos Vanessa Almeida Nascimento,21,2005-05-04,Rio de Janeiro,RJ,cliente00086@exemplo.com,7239.38,34,6744.28,Sim
87,Isabela Eduardo Oliveira Santos,49,1977-06-11,Uberlândia,MG,cliente00087@exemplo.com,9533.09,36,27635.78,Não
88,Daniel Natalia Lima Martins,44,1982-03-19,Brasília,DF,cliente00088@exemplo.com,7409.74,38,1195.82,Não
89,William Juliana Moura Nascimento,55,1971-02-28,Santos,SP,cliente00089@exemplo.com,4590.48,43,25078.76,Sim
90,Vanessa Isabela Fernandes Santos,22,2004-03-25,Londrina,PR,cliente00090@exemplo.com,7851.76,41,13266.88,Não
91,Fernanda Renata Ribeiro Monteiro,52,1974-02-03,Brasília,DF,cliente00091@exemplo.com,6197.47,21,9631.75,Sim
92,Fernanda Juliana Ribeiro Monteiro,43,1982-12-06,Salvador,BA,cliente00092@exemplo.com,12483.14,35,1100.91,Sim
93,Juliana Isabela Carvalho Souza,21,2004-08-27,Salvador,BA,cliente00093@exemplo.com,13176.29,0,19729.81,Não
94,Mateus Bruno Rodrigues Mendes,40,1986-03-25,Brasília,DF,cliente00094@exemplo.com,9943.02,48,1548.35,Não
95,Rafael Eduardo Lima Alves,25,2001-04-28,Brasília,DF,cliente00095@exemplo.com,3139.25,40,18266.15,Sim
96,Vinícius Fernanda Lima Barbosa,56,1970-08-13,Recife,PE,cliente00096@exemplo.com,2758.32,7,13843.44,Sim
97,Thiago Eduardo Monteiro Lima,33,1992-10-29,Belo Horizonte,MG,cliente00097@exemplo.com,7109.12,30,29407.34,Sim
98,Natalia Rafael Pereira Martins,48,1978-07-20,Curitiba,PR,cliente00098@exemplo.com,13164.36,17,23180.25,Não
99,Juliana Patrícia Nascimento Silva,43,1982-09-09,Uberlândia,MG,cliente00099@exemplo.com,12805.92,37,29967.07,Não
100,Eduardo Natalia Barbosa Monteiro,41,1985-06-25,Porto Alegre,RS,cliente00100@exemplo.com,8950.89,34,11316.3,Não
101,Gabriela Vinícius Almeida Fernandes,39,1987-03-07,Niterói,RJ,cliente00101@exemplo.com,13056.18,26,1309.42,Não
102,Vinícius Mariana Martins Pereira,34,1992-03-21,Campinas,SP,cliente00102@exemplo.com,3204.32,37,9959.84,Sim
103,Natalia Daniel Mendes Alves,55,1970-09-09,Curitiba,PR,cliente00103@exemplo.com,7034.71,41,29098.7,Sim
104,Otávio Isabela Carvalho Moura,25,2001-01-27,Salvador,BA,cliente00104@exemplo.com,10272.79,21,25570.24,Não
105,Juliana Thiago Monteiro Barbosa,55,1971-08-12,Santos,SP,cliente00105@exemplo.com,4669.4,43,27627.87,Sim
106,William Carlos Ribeiro Souza,22,2004-02-09,Sorocaba,SP,cliente00106@exemplo.com,7489.66,44,8983.98,Sim
107,Bruno Juliana Santos Lima,40,1986-01-30,Florianópolis,SC,cliente00107@exemplo.com,7314.27,15,15934.99,Sim
108,Fernanda Fernanda Oliveira Moura,39,1987-02-28,Niterói,RJ,cliente00108@exemplo.com,8218.51,37,4293.53,Não
109,Thiago Isabela Alves Nascimento,26,1999-11-30,São Paulo,SP,cliente00109@exemplo.com,13635.27,29,27036.28,Sim
110,Carlos Natalia Gomes Fernandes,43,1983-06-03,Recife,PE,cliente00110@exemplo.com,10819.23,29,25359.12,Sim
111,Mariana Otávio Souza Almeida,39,1987-02-09,Florianópolis,SC,cliente00111@exemplo.com,9259.96,44,8856.92,Não
112,Isabela Ana Fernandes Santos,29,1997-03-15,Brasília,DF,cliente00112@exemplo.com,12743.33,18,23272.23,Sim
113,Sérgio Lucas Almeida Rodrigues,28,1997-11-07,Belo Horizonte,MG,cliente00113@exemplo.com,10649.82,46,23024.12,Sim
114,Thiago Daniel Santos Lima,21,2005-05-17,Fortaleza,CE,cliente00114@exemplo.com,1950.42,23,21970.79,Sim
115,João Juliana Ribeiro Costa,47,1979-01-03,Curitiba,PR,cliente00115@exemplo.com,12117.92,23,15925.57,Não
116,Fernanda Isabela Monteiro Lima,23,2003-06-28,Porto Alegre,RS,cliente00116@exemplo.com,12357.14,29,28886.8,Sim
117,Henrique Vanessa Martins Barbosa,40,1986-05-29,Santos,SP,cliente00117@exemplo.com,12174.21,0,7933.76,Sim
118,Natalia Lucas Nascimento Fernandes,39,1987-02-03,Florianópolis,SC,cliente00118@exemplo.com,2962.67,14,14144.31,Não
119,Sérgio Henrique Oliveira Alves,25,2001-06-13,Uberlândia,MG,cliente00119@exemplo.com,10264.73,7,4193.31,Sim
120,João Otávio Souza Souza,46,1980-07-13,Curitiba,PR,cliente00120@exemplo.com,6746.72,23,20114.59,Não
121,Renata William Pereira Ribeiro,27,1999-05-19,Sorocaba,SP,cliente00121@exemplo.com,12754.86,39,12243.48,Não
122,Bruno Vinícius Gomes Rodrigues,36,1989-11-21,Fortaleza,CE,cliente00122@exemplo.com,14332.49,23,2980.64,Não
123,Rafael Thiago Gomes Santos,38,1987-11-11,Belo Horizonte,MG,cliente00123@exemplo.com,4062.42,7,28470.32,Não
124,Carlos Vanessa Rodrigues Moura,55,1970-12-16,Campinas,SP,cliente00124@exemplo.com,12121.73,15,29664.63,Sim
125,Carlos Rafael Rodrigues Fernandes,46,1979-09-09,Niterói,RJ,cliente00125@exemplo.com,5935.55,9,23659.31,Sim
126,Isabela Eduardo Pereira Barbosa,45,1981-03-30,Londrina,PR,cliente00126@exemplo.com,2984.01,1,3954.1,Não
127,Henrique Renata Carvalho Silva,48,1977-10-25,Belo Horizonte,MG,cliente00127@exemplo.com,2207.39,47,12628.82,Sim
128,William Carlos Monteiro Alves,21,2004-11-25,Florianópolis,SC,cliente00128@exemplo.com,8428.71,6,13560.16,Sim
129,Sérgio Bruno Mendes Lima,36,1990-07-19,São Paulo,SP,cliente00129@exemplo.com,2321.14,30,25418.96,Não
130,Vanessa Daniel Monteiro Alves,53,1973-04-19,Santos,SP,cliente00130@exemplo.com,5848.51,9,1970.47,Não
131,Sérgio Thiago Fernandes Barbosa,24,2001-12-11,Porto Alegre,RS,cliente00131@exemplo.com,6642.21,38,15916.71,Não
132,Patrícia Sérgio Ribeiro Souza,21,2005-07-30,Sorocaba,SP,cliente00132@exemplo.com,13012.7,41,26331.19,Sim
133,Mateus Natalia Almeida Ribeiro,41,1985-03-16,Fortaleza,CE,cliente00133@exemplo.com,6882.86,46,2852.58,Não
134,Juliana Vanessa Nascimento Gomes,49,1976-11-05,Brasília,DF,cliente00134@exemplo.com,2406.3,5,2796.9,Sim
135,William William Gomes Pereira,31,1994-12-16,Campinas,SP,cliente00135@exemplo.com,9417.28,35,16850.5,Sim
136,Mateus Lucas Ribeiro Santos,43,1982-11-26,Uberlândia,MG,cliente00136@exemplo.com,6247.22,36,15222.38,Sim
137,Vanessa Otávio Almeida Souza,40,1985-09-15,Florianópolis,SC,cliente00137@exemplo.com,3050.95,17,17223.0,Não
138,Rafael Sérgio Moura Barbosa,55,1971-03-07,Belo Horizonte,MG,cliente00138@exemplo.com,1890.87,17,21080.96,Não
139,Juliana Lucas Silva Costa,50,1976-06-05,Salvador,BA,cliente00139@exemplo.com,2439.4,47,18995.16,Sim
140,Carlos William Mendes Rodrigues,39,1986-11-16,Recife,PE,cliente00140@exemplo.com,7624.22,10,11101.59,Não
141,Renata Sérgio Oliveira Santos,49,1976-12-24,Londrina,PR,cliente00141@exemplo.com,11684.88,3,20219.06,Não
142,Natalia Vanessa Ribeiro Monteiro,29,1997-03-26,Fortaleza,CE,cliente00142@exemplo.com,7091.48,13,22648.29,Sim
143,Lucas Mateus Souza Lima,26,2000-06-03,Brasília,DF,cliente00143@exemplo.com,8613.61,19,1362.52,Não
144,Sérgio Bruno Silva Rodrigues,43,1983-07-10,Rio de Janeiro,RJ,cliente00144@exemplo.com,11859.22,48,7665.59,Não
145,Daniel Ana Monteiro Ribeiro,48,1977-11-18,Curitiba,PR,cliente00145@exemplo.com,6632.8,45,6903.32,Não
146,Carlos Mariana Santos Ribeiro,55,1970-11-04,Fortaleza,CE,cliente00146@exemplo.com,13935.69,20,17272.77,Não
147,Vinícius Thiago Ribeiro Lima,51,1975-03-03,Salvador,BA,cliente00147@exemplo.com,1781.56,20,5156.2,Não
148,Vinícius Lucas Oliveira Ribeiro,51,1974-10-01,Niterói,RJ,cliente00148@exemplo.com,7381.63,25,15718.88,Não
149,João William Carvalho Almeida,41,1984-12-09,Londrina,PR,cliente00149@exemplo.com,2531.12,40,3420.8,Sim
150,Lucas Lucas Pereira Almeida,52,1974-08-12,Curitiba,PR,cliente00150@exemplo.com,4955.57,11,18071.97,Sim
151,Fernanda Thiago Monteiro Alves,22,2003-11-04,Fortaleza,CE,cliente00151@exemplo.com,10695.3,36,19289.75,Não
152,Thiago Juliana Pereira Alves,53,1973-01-23,Brasília,DF,cliente00152@exemplo.com,7469.81,19,23889.89,Sim
153,Lucas Patrícia Oliveira Lima,35,1990-09-18,Fortaleza,CE,cliente00153@exemplo.com,2007.7,23,24950.9,Sim
154,Thiago Carlos Moura Moura,33,1992-09-29,Salvador,BA,cliente00154@exemplo.com,7746.61,35,28626.94,Sim
155,Natalia Renata Rodrigues Carvalho,29,1997-02-20,Brasília,DF,cliente00155@exemplo.com,8268.46,3,13515.69,Não
156,Vinícius Carlos Mendes Costa,54,1971-10-04,Niterói,RJ,cliente00156@exemplo.com,11052.89,28,15722.06,Sim
157,Lucas Lucas Lima Martins,38,1988-05-03,Porto Alegre,RS,cliente00157@exemplo.com,10665.12,3,23676.81,Não
158,Carlos Juliana Souza Barbosa,26,2000-06-06,Salvador,BA,cliente00158@exemplo.com,5335.98,46,25546.99,Sim
159,Juliana Carlos Fernandes Pereira,40,1985-09-10,Uberlândia,MG,cliente00159@exemplo.com,14563.9,44,19864.05,Sim
160,Sérgio Vinícius Oliveira Lima,31,1995-01-27,Salvador,BA,cliente00160@exemplo.com,10187.16,21,24395.54,Sim
161,Thiago Vanessa Ribeiro Mendes,40,1986-03-26,São Paulo,SP,cliente00161@exemplo.com,6395.07,11,28535.08,Não
162,Otávio Gabriela Almeida Pereira,49,1976-12-13,Santos,SP,cliente00162@exemplo.com,5493.19,50,3034.22,Sim
163,Vanessa Juliana Moura Pereira,29,1996-10-16,Salvador,BA,cliente00163@exemplo.com,3582.41,11,24940.35,Sim
164,William Natalia Santos Ribeiro,40,1986-05-05,Niterói,RJ,cliente00164@exemplo.com,14589.45,39,8547.84,Não
165,Henrique Rafael Almeida Lima,21,2005-03-09,Brasília,DF,cliente00165@exemplo.com,13703.65,12,11035.23,Não
166,Natalia João Martins Mendes,32,1993-08-29,Recife,PE,cliente00166@exemplo.com,14544.62,12,24037.78,Sim
167,Isabela Bruno Monteiro Gomes,31,1994-11-16,Sorocaba,SP,cliente00167@exemplo.com,11103.91,33,25534.98,Não
168,Carlos Fernanda Nascimento Alves,33,1993-01-10,Curitiba,PR,cliente00168@exemplo.com,12719.13,5,28392.4,Sim
169,Natalia Lucas Silva Ribeiro,54,1972-05-22,Salvador,BA,cliente00169@exemplo.com,8277.1,15,11584.98,Sim
170,Lucas Henrique Silva Carvalho,52,1974-06-12,Porto Alegre,RS,cliente00170@exemplo.com,12183.64,8,1149.1,Não
171,Vinícius Eduardo Monteiro Alves,29,1997-08-08,São Paulo,SP,cliente00171@exemplo.com,13729.08,1,7677.72,Sim
172,Rafael William Moura Mendes,37,1988-12-26,Sorocaba,SP,cliente00172@exemplo.com,11978.33,15,9034.54,Sim
173,Henrique Mateus Moura Alves,53,1972-10-26,Sorocaba,SP,cliente00173@exemplo.com,12795.28,31,17902.17,Sim
174,Thiago Patrícia Fernandes Almeida,24,2002-03-26,Curitiba,PR,cliente00174@exemplo.com,5432.17,0,18444.29,Sim
175,Renata Mateus Costa Oliveira,33,1993-06-25,Florianópolis,SC,cliente00175@exemplo.com,2413.67,33,16322.46,Sim
176,Mariana Otávio Santos Martins,39,1986-09-30,Belo Horizonte,MG,cliente00176@exemplo.com,11588.77,22,23655.6,Não
177,Henrique William Souza Fernandes,23,2002-12-24,Porto Alegre,RS,cliente00177@exemplo.com,3301.03,22,16380.41,Sim
178,Vanessa Natalia Monteiro Costa,50,1976-01-19,Santos,SP,cliente00178@exemplo.com,11166.61,29,1109.51,Sim
179,Bruno Gabriela Santos Carvalho,42,1983-11-29,Salvador,BA,cliente00179@exemplo.com,14853.16,34,14201.99,Sim
180,Thiago Gabriela Lima Gomes,21,2005-01-10,Campinas,SP,cliente00180@exemplo.com,13188.28,21,8196.5,Não
181,Mateus Mariana Alves Martins,41,1985-03-17,Londrina,PR,cliente00181@exemplo.com,8198.74,31,11020.41,Não
182,Carlos William Ribeiro Oliveira,37,1989-04-26,Londrina,PR,cliente00182@exemplo.com,8863.9,20,3077.94,Não
183,Vanessa João Lima Alves,29,1997-01-12,Recife,PE,cliente00183@exemplo.com,3749.7,28,10546.41,Sim
184,William Lucas Moura Ribeiro,44,1982-04-26,Campinas,SP,cliente00184@exemplo.com,2513.06,40,12186.31,Sim
185,Ana Eduardo Moura Alves,55,1971-07-25,Curitiba,PR,cliente00185@exemplo.com,2407.65,49,19354.89,Não
186,Mariana Renata Santos Moura,49,1976-11-18,Fortaleza,CE,cliente00186@exemplo.com,14309.12,23,13318.18,Sim
187,Renata Eduardo Mendes Gomes,38,1987-11-09,Porto Alegre,RS,cliente00187@exemplo.com,10269.07,15,28815.6,Sim
188,William Fernanda Monteiro Mendes,39,1987-05-12,Sorocaba,SP,cliente00188@exemplo.com,5033.99,16,21121.13,Sim
189,Sérgio João Monteiro Rodrigues,51,1975-07-03,Curitiba,PR,cliente00189@exemplo.com,13013.15,28,5179.69,Não
190,Carlos Vanessa Carvalho Gomes,24,2001-10-30,Santos,SP,cliente00190@exemplo.com,8924.96,18,26739.95,Sim
191,Vinícius Vinícius Costa Gomes,33,1992-10-27,Niterói,RJ,cliente00191@exemplo.com,3138.39,12,23761.97,Sim
192,Otávio Ana Gomes Barbosa,30,1995-09-03,Florianópolis,SC,cliente00192@exemplo.com,7809.98,35,3893.14,Sim
193,Carlos João Martins Monteiro,33,1993-07-31,Recife,PE,cliente00193@exemplo.com,11883.72,36,2212.52,Não
194,Thiago Carlos Alves Alves,26,2000-07-04,Florianópolis,SC,cliente00194@exemplo.com,3232.52,49,16539.1,Sim
195,Eduardo Mateus Mendes Santos,51,1975-07-28,Curitiba,PR,cliente00195@exemplo.com,5605.68,10,9679.82,Sim
196,Lucas Patrícia Lima Oliveira,45,1981-03-29,Rio de Janeiro,RJ,cliente00196@exemplo.com,10073.27,35,8233.53,Não
197,Sérgio Rafael Oliveira Mendes,27,1998-10-02,Londrina,PR,cliente00197@exemplo.com,9489.41,37,4625.83,Não
198,Renata Bruno Silva Oliveira,54,1972-01-15,Belo Horizonte,MG,cliente00198@exemplo.com,10290.25,49,17164.12,Sim
199,Otávio Thiago Barbosa Lima,27,1998-10-18,Uberlândia,MG,cliente00199@exemplo.com,8019.76,43,12182.78,Não
200,Carlos Vinícius Santos Costa,36,1989-09-20,Recife,PE,cliente00200@exemplo.com,8037.39,13,10205.78,Sim
201,Juliana Vinícius Carvalho Gomes,38,1987-11-20,Curitiba,PR,cliente00201@exemplo.com,11768.98,32,16849.54,Não
202,Henrique Natalia Souza Nascimento,36,1990-03-03,Niterói,RJ,cliente00202@exemplo.com,3401.85,3,8706.36,Não
203,Sérgio Mateus Almeida Costa,41,1984-09-08,Porto Alegre,RS,cliente00203@exemplo.com,4062.76,10,14947.97,Não
204,Otávio João Monteiro Silva,52,1974-01-15,Salvador,BA,cliente00204@exemplo.com,8323.5,15,6454.33,Não
205,Bruno Bruno Lima Monteiro,29,1996-10-20,Brasília,DF,cliente00205@exemplo.com,5357.6,0,25415.17,Não
206,Eduardo Isabela Gomes Martins,40,1986-06-01,Campinas,SP,cliente00206@exemplo.com,6907.85,36,16854.51,Não
207,Rafael João Oliveira Martins,34,1992-08-14,Fortaleza,CE,cliente00207@exemplo.com,11819.46,17,24759.34,Sim
208,Eduardo Daniel Martins Gomes,20,2005-08-28,Porto Alegre,RS,cliente00208@exemplo.com,9030.73,23,22648.96,Sim
209,Sérgio Patrícia Martins Mendes,54,1971-10-22,Campinas,SP,cliente00209@exemplo.com,2025.34,45,9991.22,Não
